,fips_x,area_name,state_abbreviation,PST045214,PST040210,PST120214_x,POP010210,AGE135214,AGE295214,AGE775214_x,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213_x,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213_x,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,logpop,fips_y,PST120214_y,INC110213_y,EDU685213_y,AGE775214_y,model,residual,valsq,ressq
0,0,United States,,318857056,308758105,3.3,308745538,6.2,23.1,14.5,50.8,77.4,13.2,1.2,5.4,0.2,2.5,17.4,62.1,84.9,12.9,20.7,86.0,28.8,21263779,25.5,133957180,64.9,26.0,176700,115610216,2.63,28155,53046,15.4,7488353,118266253,2.0,23005620,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,1046363,3531905.43,87.4,8.48960068987588,0,3.3,53046,28.8,14.5,2.4201567875312637,0.8798432124687361,6.327081300002834,0.7741240782932577
1,1000,Alabama,,4849377,4780127,1.4,4779736,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,1.5,4.1,66.2,85.0,3.5,5.2,83.1,22.6,388865,24.2,2207912,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97578,1603100,1.1,311578,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13369,50645.33,94.4,6.679403909810966,1000,1.4,43253,22.6,15.3,1.0246268368787073,0.37537316312129265,0.3786790291188071,0.14090501149183132
2,1001,Autauga County,AL,55395,54571,1.5,54571,6.0,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85.0,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,4.736961912194411,1001,1.5,53682,20.9,13.8,2.0274838487646845,-0.5274838487646845,0.5117528328495454,0.2782392108479209
3,1003,Baldwin County,AL,200111,182265,9.8,182265,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83.0,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,5.260703279920933,1003,9.8,50221,27.7,18.7,0.6099220430713768,9.190077956928624,81.27687854250082,84.45753285198074
4,1005,Barbour County,AL,26887,27457,-2.1,27457,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,84.8,2.9,5.0,73.7,13.4,2120,24.6,11799,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1546,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,8,884.88,31.0,4.438653083715711,1005,-2.1,32911,13.4,16.5,-0.811352191657881,-1.2886478083421191,8.321095898542968,1.6606131742877412
5,1007,Bibb County,AL,22506,22919,-1.8,22915,5.3,21.0,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79.0,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,19,622.58,36.8,4.360119861580805,1007,-1.8,36447,12.1,14.8,-0.0602349311936079,-1.7397650688063921,6.680317309735184,3.0267824951017066
6,1009,Blount County,AL,57719,57322,0.7,57322,6.1,23.6,17.0,50.5,96.0,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77.0,12.1,4540,33.9,23826,81.0,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,3,644.78,88.9,4.758321334792488,1009,0.7,44145,12.1,17.0,-0.6635108421291562,1.3635108421291562,0.007162403003639241,1.8591618162410521
7,1011,Bullock County,AL,10764,10915,-1.4,10914,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0.0,470,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,1,622.81,17.5,4.037983949447127,1011,-1.4,32033,12.5,14.9,-0.24957236201418453,-1.1504276379858154,4.772612524658135,1.3234837505476484
8,1013,Butler County,AL,20296,20946,-3.1,20947,6.1,23.6,18.0,53.6,53.9,44.0,0.4,0.9,0.0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14.0,1497,24.0,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,2,776.83,27.0,4.321121832708528,1013,-3.1,29918,14.0,18.0,-1.3849197358425958,-1.7150802641574043,15.090357861235585,2.941500312958462
9,1015,Calhoun County,AL,115916,118586,-2.3,118572,5.7,22.2,16.0,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7,5.073982145342229,1015,-2.3,39962,16.1,16.0,-0.05608186279359284,-2.243918137206407,9.51494829108149,5.035168607080777
